Ticket_ID,Open_Date,Close_Date,Category,Subcategory,Severity,Priority_Score,Department,Requesting_User,Affected_Node,Affected_Component,Affected_Subcomponent,Description,Resolution,Downtime_Hours,Root_Cause,Escalated,Escalation_Level,SLA_Met,Vendor_Ticket,Cost_Parts,Cost_Labor,Cost_Total,Follow_Up_Required,Related_Tickets,Response_Time_Min,Resolution_Time_Hr,Response_SLA_Met,Resolution_SLA_Met,Priority,Response_Min,Resolution_Hr
TKT-00096,2025-01-27 00:00,2025-02-02 00:00,Consultation,Software_Selection,P3,380,Computer Science,user081,hpc-gpu-037,Fan,Software Selection,Consultation incident reported via phone. Automated monitoring confirmed software selection on hpc-cpu-001. Impact assessment: cluster-wide performance degradation. Initial diagnosis indicates hardware wear. Prometheus alert: memory_pressure.,Issue resolved via permission adjustment. Verification: service restored to normal operation.,0.0,config_drift,No,L1,No,,0,0,0,Schedule follow-up,,247,9.7,No,Yes,P4,498,160.0
TKT-00106,2025-02-24 00:00,2025-02-25 00:00,Security,Unauthorized_Access,P2,701,Physics,user064,hpc-gpu-030,NVMe,Unauthorized Access,"User user112 from Earth Sciences submitted P2 incident for unauthorized access. Affected system: hpc-gpu-052, component: NVMe. Job ID 7989823 failed after 4 hours of execution. Error log analysis shows authentication failure. Preliminary investigation: consulting with vendor.",Issue resolved via job resubmission. Verification: service restored to normal operation.,0.0,hardware_wear,No,L2,Yes,,0,0,0,Vendor review,,83,6.8,Yes,Yes,P4,554,46.6
TKT-00115,2025-07-03 00:00,2025-07-05 00:00,Access_Request,Storage_Quota,P3,437,Physics,user017,hpc-gpu-050,Application,Storage Quota,"User user042 from Biology submitted P3 incident for storage quota. Affected system: hpc-gpu-030, component: Application. Job ID 6266440 hung after 42 hours of execution. Error log analysis shows OOM kill. Preliminary investigation: scheduling diagnostic run.",Issue resolved via component replacement. Verification: node health check passed.,0.0,user_error,No,L1,Yes,,0,0,0,Monitor 30 days,,229,5.5,Yes,Yes,P4,1180,62.1
TKT-00125,2025-07-09 00:00,2025-07-17 00:00,Account_Management,Graduation_Deactivation,P3,360,Medical Research,user104,hpc-cpu-001,Security,Graduation Deactivation,"User user078 from Engineering submitted P3 incident for graduation deactivation. Affected system: hpc-gpu-044, component: Security. Job ID 8317994 produced incorrect results after 18 hours of execution. Error log analysis shows authentication failure. Preliminary investigation: reviewing system logs.",Issue resolved via job resubmission. Verification: user confirmed resolution.,0.0,user_error,No,L1,No,,0,0,0,Schedule follow-up,,253,19.4,No,No,P4,166,117.9
TKT-00134,2025-12-31 00:00,2026-01-15 00:00,Software_Issue,Library_Conflict,P4,193,Biology,user026,hpc-gpu-073,Scheduler,Library Conflict,Software Issue incident reported via Slack. Automated monitoring confirmed library conflict on hpc-gpu-058. Impact assessment: cluster-wide performance degradation. Initial diagnosis indicates capacity limitation. Prometheus alert: disk_io_wait.,Issue resolved via quota increase. Verification: service restored to normal operation.,0.0,environmental,No,L1,Yes,,0,0,0,Schedule follow-up,,198,14.0,Yes,Yes,P4,835,56.1
TKT-00144,2025-09-18 00:00,2025-09-29 00:00,Consultation,Code_Review,P4,209,Chemistry,user044,hpc-gpu-006,Filesystem,Code Review,"User user053 from Computer Science submitted P4 incident for code review. Affected system: hpc-gpu-001, component: Filesystem. Job ID 5282378 crashed after 40 hours of execution. Error log analysis shows filesystem I/O error. Preliminary investigation: consulting with vendor.",Issue resolved via system reboot. Verification: service restored to normal operation.,0.0,firmware_incompatibility,No,L1,Yes,,0,0,0,,,143,20.8,Yes,Yes,P4,600,66.0
TKT-00153,2025-05-17 00:00,2025-05-19 00:00,Software_Issue,Driver_Issue,P4,166,Mathematics,user097,hpc-gpu-092,Fan,Driver Issue,"User user094 from Biology submitted P4 incident for driver issue. Affected system: hpc-cpu-010, component: Fan. Job ID 1889515 timed out after 29 hours of execution. Error log analysis shows CUDA error. Preliminary investigation: scheduling diagnostic run.",Issue resolved via job resubmission. Verification: node health check passed.,0.0,software_bug,No,L1,Yes,,0,0,0,Vendor review,,218,38.1,Yes,Yes,P4,419,47.6
TKT-00163,2025-08-12 00:00,2025-08-14 00:00,Software_Issue,OS_Crash,P2,662,Earth Sciences,user080,hpc-gpu-043,Application,OS Crash,"User user115 from Mathematics submitted P2 incident for os crash. Affected system: hpc-gpu-057, component: Application. Job ID 9928597 crashed after 16 hours of execution. Error log analysis shows OOM kill. Preliminary investigation: consulting with vendor.",Issue resolved via firmware update. Verification: benchmark validation completed.,0.0,environmental,No,L1,No,,0,0,0,Vendor review,,149,6.6,No,Yes,P4,408,90.3
TKT-00173,2025-05-19 00:00,2025-06-02 00:00,Performance,Thermal_Throttle,P4,234,Mathematics,user118,hpc-gpu-011,Scheduler,Thermal Throttle,"User user066 from Computer Science submitted P4 incident for thermal throttle. Affected system: hpc-gpu-092, component: Scheduler. Job ID 7930250 hung after 40 hours of execution. Error log analysis shows CUDA error. Preliminary investigation: scheduling diagnostic run.",Issue resolved via firmware update. Verification: node health check passed.,11.9,firmware_incompatibility,No,L1,No,,0,0,0,Schedule follow-up,,494,23.9,No,Yes,P4,921,156.1
TKT-00182,2025-01-23 00:00,2025-01-24 00:00,Consultation,Training_Request,P2,665,Earth Sciences,user010,hpc-cpu-010,PSU,Training Request,"User user009 from Biology submitted P2 incident for training request. Affected system: hpc-gpu-039, component: PSU. Job ID 6848182 crashed after 49 hours of execution. Error log analysis shows segfault. Preliminary investigation: checking node health metrics.",Issue resolved via job resubmission. Verification: service restored to normal operation.,0.0,environmental,Yes,L3,Yes,,0,0,0,Vendor review,,92,6.2,Yes,Yes,P4,1141,91.6
TKT-00192,2025-03-19 00:00,2025-04-05 00:00,Security,Certificate_Renewal,P4,170,Computer Science,user065,hpc-cpu-015,Account,Certificate Renewal,Security incident reported via Slack. Automated monitoring triggered alert for certificate renewal on hpc-gpu-015. Impact assessment: department-wide impact. Initial diagnosis indicates environmental factor. Prometheus alert: node_cpu_high.,Issue resolved via job resubmission. Verification: benchmark validation completed.,0.0,software_bug,No,L1,No,,0,0,0,Vendor review,,231,43.4,Yes,No,P4,1179,118.1
TKT-00201,2025-03-11 00:00,2025-03-11 00:00,Account_Management,Group_Change,P2,679,Earth Sciences,user080,hpc-gpu-045,Application,Group Change,"User user097 from Engineering submitted P2 incident for group change. Affected system: hpc-gpu-053, component: Application. Job ID 7123637 produced incorrect results after 31 hours of execution. Error log analysis shows filesystem I/O error. Preliminary investigation: scheduling diagnostic run.",Issue resolved via software patch. Verification: service restored to normal operation.,0.0,user_error,No,L3,Yes,,0,0,0,Monitor 30 days,,109,4.8,Yes,Yes,P4,1030,83.2
TKT-00211,2025-12-16 00:00,2025-12-30 00:00,Access_Request,New_Account,P4,198,Chemistry,user076,hpc-cpu-008,NVMe,New Account,"User user105 from Physics submitted P4 incident for new account. Affected system: hpc-gpu-028, component: NVMe. Job ID 3468319 failed after 9 hours of execution. Error log analysis shows NCCL timeout. Preliminary investigation: reviewing system logs.",Issue resolved via quota increase. Verification: service restored to normal operation.,0.0,hardware_wear,No,L1,Yes,,0,0,0,,,326,39.8,Yes,Yes,P4,1315,36.4
TKT-00220,2025-03-24 00:00,2025-03-24 00:00,Account_Management,Billing_Dispute,P2,659,Engineering,user044,login-002,Account,Billing Dispute,Account Management incident reported via Slack. Automated monitoring confirmed billing dispute on hpc-gpu-042. Impact assessment: single user affected. Initial diagnosis indicates hardware wear. Prometheus alert: memory_pressure.,Issue resolved via user training. Verification: service restored to normal operation.,0.0,planned_change,No,L3,No,,0,0,0,,,56,9.4,Yes,No,P4,417,101.0
TKT-00230,2025-05-25 00:00,2025-06-03 00:00,Software_Issue,Module_Load,P4,229,Computer Science,user012,hpc-gpu-018,Scheduler,Module Load,"User user063 from Medical Research submitted P4 incident for module load. Affected system: hpc-gpu-025, component: Scheduler. Job ID 2325146 timed out after 18 hours of execution. Error log analysis shows CUDA error. Preliminary investigation: consulting with vendor.",Issue resolved via component replacement. Verification: user confirmed resolution.,0.0,user_error,No,L1,Yes,,0,0,0,,,220,9.6,Yes,Yes,P4,809,127.0
TKT-00240,2025-09-04 00:00,2025-09-09 00:00,Network,DNS_Issue,P4,183,Chemistry,user105,hpc-gpu-093,Filesystem,DNS Issue,Network incident reported via Slack. Automated monitoring confirmed dns issue on hpc-gpu-054. Impact assessment: multiple users in department affected. Initial diagnosis indicates environmental factor. Prometheus alert: network_errors.,Issue resolved via permission adjustment. Verification: service restored to normal operation.,8.6,security_event,No,L1,Yes,,0,1974,1974,Schedule follow-up,,454,34.3,Yes,Yes,P4,813,152.4
TKT-00249,2025-08-14 00:00,2025-09-01 00:00,Hardware_Failure,NVMe_Drive,P4,185,Biology,user028,hpc-cpu-019,Application,NVMe Drive,"User user038 from Engineering submitted P4 incident for nvme drive. Affected system: hpc-gpu-070, component: Application. Job ID 2708339 timed out after 31 hours of execution. Error log analysis shows filesystem I/O error. Preliminary investigation: reviewing system logs.",Issue resolved via configuration update. Verification: node health check passed.,7.3,capacity_limit,No,L1,Yes,NXG-SR-742453,1200,662,1862,,,336,15.9,Yes,Yes,P4,427,147.7
TKT-00259,2025-04-26 00:00,2025-04-28 00:00,Consultation,Benchmark_Request,P4,177,Engineering,user104,hpc-gpu-094,PSU,Benchmark Request,"User user108 from Mathematics submitted P4 incident for benchmark request. Affected system: hpc-cpu-005, component: PSU. Job ID 6658443 hung after 48 hours of execution. Error log analysis shows authentication failure. Preliminary investigation: reviewing system logs.",Issue resolved via job resubmission. Verification: benchmark validation completed.,0.0,user_error,No,L1,Yes,,0,0,0,Schedule follow-up,,377,33.6,Yes,Yes,P4,659,100.5
TKT-00268,2025-05-16 00:00,2025-05-25 00:00,Storage,File_Recovery,P4,245,Biology,user059,login-002,GPU,File Recovery,"User user063 from Chemistry submitted P4 incident for file recovery. Affected system: hpc-gpu-082, component: GPU. Job ID 8986937 hung after 56 hours of execution. Error log analysis shows NCCL timeout. Preliminary investigation: scheduling diagnostic run.",Issue resolved via escalation to vendor. Verification: monitoring alerts cleared.,0.0,hardware_wear,No,L1,No,,0,0,0,,,472,43.4,Yes,No,P4,1398,73.7
TKT-00278,2025-11-23 00:00,2025-12-02 00:00,Network,Firewall_Rule,P4,221,Chemistry,user047,hpc-gpu-018,NVMe,Firewall Rule,"User user020 from Chemistry submitted P4 incident for firewall rule. Affected system: hpc-cpu-002, component: NVMe. Job ID 9902230 produced incorrect results after 28 hours of execution. Error log analysis shows CUDA error. Preliminary investigation: checking node health metrics.",Issue resolved via user training. Verification: node health check passed.,23.2,user_error,No,L1,Yes,,0,2168,2168,Vendor review,,391,8.7,Yes,Yes,P4,852,154.8
TKT-00287,2025-01-03 00:00,2025-01-07 00:00,Storage,Backup_Failure,P4,180,Computer Science,user107,hpc-cpu-016,PSU,Backup Failure,"User user029 from Chemistry submitted P4 incident for backup failure. Affected system: hpc-gpu-042, component: PSU. Job ID 3804801 timed out after 17 hours of execution. Error log analysis shows segfault. Preliminary investigation: scheduling diagnostic run.",Issue resolved via system reboot. Verification: monitoring alerts cleared.,0.0,user_error,No,L1,Yes,,0,0,0,Vendor review,,146,25.9,Yes,Yes,P4,1334,110.5
TKT-00297,2025-11-28 00:00,2025-12-04 00:00,Consultation,Benchmark_Request,P4,218,Engineering,user098,hpc-gpu-008,Memory,Benchmark Request,"User user007 from Chemistry submitted P4 incident for benchmark request. Affected system: hpc-gpu-054, component: Memory. Job ID 3199132 crashed after 61 hours of execution. Error log analysis shows NCCL timeout. Preliminary investigation: consulting with vendor.",Issue resolved via job resubmission. Verification: node health check passed.,0.0,security_event,No,L1,Yes,,0,0,0,Schedule follow-up,,215,26.2,Yes,Yes,P4,241,30.0
TKT-00306,2025-01-08 00:00,2025-01-23 00:00,Storage,File_Recovery,P4,238,Biology,user014,hpc-cpu-012,Scheduler,File Recovery,"User user116 from Mathematics submitted P4 incident for file recovery. Affected system: hpc-cpu-021, component: Scheduler. Job ID 3941937 produced incorrect results after 13 hours of execution. Error log analysis shows NCCL timeout. Preliminary investigation: checking node health metrics.",Issue resolved via escalation to vendor. Verification: benchmark validation completed.,0.0,config_drift,No,L1,Yes,,0,0,0,Schedule follow-up,,430,31.4,Yes,Yes,P4,401,124.5
TKT-00316,2025-09-27 00:00,2025-10-03 00:00,Software_Issue,Module_Load,P3,377,Physics,user104,hpc-gpu-060,Account,Module Load,"User user097 from Computer Science submitted P3 incident for module load. Affected system: hpc-gpu-081, component: Account. Job ID 5522824 timed out after 54 hours of execution. Error log analysis shows authentication failure. Preliminary investigation: reviewing system logs.",Issue resolved via quota increase. Verification: service restored to normal operation.,0.0,firmware_incompatibility,No,L1,No,,0,0,0,,,230,19.0,Yes,No,P4,232,78.5
TKT-00326,2025-09-01 00:00,2025-09-05 00:00,Consultation,Software_Selection,P3,428,Mathematics,user081,hpc-cpu-007,Memory,Software Selection,Consultation incident reported via web portal. Automated monitoring triggered alert for software selection on storage-001. Impact assessment: department-wide impact. Initial diagnosis indicates environmental factor. Prometheus alert: network_errors.,Issue resolved via quota increase. Verification: node health check passed.,0.0,hardware_wear,No,L1,No,,0,0,0,Vendor review,,119,18.6,Yes,No,P4,773,128.3
TKT-00335,2025-02-05 00:00,2025-02-10 00:00,Performance,GPU_Utilization_Low,P4,240,Medical Research,user021,login-001,OS,GPU Utilization Low,Performance incident reported via phone. Automated monitoring triggered alert for gpu utilization low on hpc-gpu-070. Impact assessment: multiple users in department affected. Initial diagnosis indicates environmental factor. Prometheus alert: node_cpu_high.,Issue resolved via software patch. Verification: monitoring alerts cleared.,3.9,environmental,No,L1,Yes,,0,0,0,Vendor review,,240,11.2,Yes,Yes,P4,990,155.3
TKT-00345,2025-10-20 00:00,2025-10-20 00:00,Storage,Data_Transfer,P1,919,Computer Science,user003,hpc-gpu-081,Filesystem,Data Transfer,"User user083 from Medical Research submitted P1 incident for data transfer. Affected system: login-001, component: Filesystem. Job ID 3321630 timed out after 42 hours of execution. Error log analysis shows OOM kill. Preliminary investigation: reviewing system logs.",Issue resolved via software patch. Verification: monitoring alerts cleared.,0.0,user_error,No,L3,Yes,,0,0,0,Vendor review,,13,3.1,Yes,Yes,P4,1090,123.7
TKT-00350,2025-12-20 00:00,2025-12-23 00:00,Account_Management,Graduation_Deactivation,P2,662,Computer Science,user045,hpc-gpu-017,OS,Graduation Deactivation,Account Management incident reported via email. Automated monitoring triggered alert for graduation deactivation on hpc-gpu-061. Impact assessment: department-wide impact. Initial diagnosis indicates environmental factor. Prometheus alert: node_cpu_high.,Issue resolved via configuration update. Verification: user confirmed resolution.,0.0,config_drift,Yes,L3,Yes,,0,0,0,,,36,7.4,Yes,Yes,P1,16,4.8
TKT-00355,2025-03-16 00:00,2025-03-17 00:00,Network,Latency_Spike,P3,420,Physics,user076,hpc-gpu-003,NVMe,Latency Spike,Network incident reported via email. Automated monitoring triggered alert for latency spike on hpc-gpu-062. Impact assessment: single user affected. Initial diagnosis indicates user error. Prometheus alert: network_errors.,Issue resolved via user training. Verification: benchmark validation completed.,22.0,planned_change,No,L1,No,,0,529,529,Vendor review,,247,11.8,No,Yes,P4,1349,82.6
TKT-00365,2025-02-19 00:00,2025-03-09 00:00,Storage,Backup_Failure,P4,220,Computer Science,user109,hpc-gpu-053,Security,Backup Failure,"User user042 from Engineering submitted P4 incident for backup failure. Affected system: hpc-gpu-094, component: Security. Job ID 2966116 hung after 51 hours of execution. Error log analysis shows MPI abort. Preliminary investigation: reviewing system logs.",Issue resolved via configuration update. Verification: node health check passed.,0.0,security_event,No,L1,Yes,,0,0,0,Schedule follow-up,,120,34.0,Yes,Yes,P4,368,91.7
TKT-00374,2025-07-31 00:00,2025-08-11 00:00,Consultation,Code_Review,P4,201,Physics,user039,hpc-gpu-003,GPU,Code Review,"User user030 from Engineering submitted P4 incident for code review. Affected system: hpc-gpu-005, component: GPU. Job ID 3007614 produced incorrect results after 59 hours of execution. Error log analysis shows filesystem I/O error. Preliminary investigation: reviewing system logs.",Issue resolved via system reboot. Verification: user confirmed resolution.,0.0,firmware_incompatibility,No,L1,No,,0,0,0,Schedule follow-up,,174,47.8,Yes,No,P4,277,167.4
TKT-00384,2025-08-16 00:00,2025-08-25 00:00,Hardware_Failure,NVMe_Drive,P3,383,Engineering,user060,hpc-gpu-006,PSU,NVMe Drive,Hardware Failure incident reported via email. Automated monitoring triggered alert for nvme drive on hpc-cpu-011. Impact assessment: single user affected. Initial diagnosis indicates environmental factor. Prometheus alert: lustre_ost_full.,Issue resolved via system reboot. Verification: node health check passed.,15.3,hardware_wear,No,L1,Yes,NXG-SR-674670,420,1145,1565,Schedule follow-up,,134,9.2,Yes,Yes,P4,121,159.5
TKT-00393,2025-08-22 00:00,2025-08-30 00:00,Network,Link_Down,P3,357,Biology,user103,hpc-gpu-049,CPU,Link Down,"User user063 from Chemistry submitted P3 incident for link down. Affected system: hpc-cpu-004, component: CPU. Job ID 3471582 failed after 69 hours of execution. Error log analysis shows CUDA error. Preliminary investigation: checking node health metrics.",Issue resolved via escalation to vendor. Verification: user confirmed resolution.,7.2,planned_change,No,L1,No,,0,469,469,Vendor review,,295,11.9,No,Yes,P4,1132,117.9
TKT-00403,2025-04-09 00:00,2025-04-16 00:00,Hardware_Failure,NVMe_Drive,P3,431,Mathematics,user056,hpc-gpu-086,Filesystem,NVMe Drive,"User user095 from Mathematics submitted P3 incident for nvme drive. Affected system: hpc-gpu-012, component: Filesystem. Job ID 3954522 produced incorrect results after 63 hours of execution. Error log analysis shows authentication failure. Preliminary investigation: reviewing system logs.",Issue resolved via system reboot. Verification: monitoring alerts cleared.,13.0,config_drift,No,L1,Yes,,1200,1265,2465,Vendor review,,148,14.9,Yes,Yes,P4,1207,161.6
TKT-00413,2025-05-19 00:00,2025-05-25 00:00,Network,DNS_Issue,P3,416,Biology,user107,hpc-gpu-026,Memory,DNS Issue,"User user080 from Engineering submitted P3 incident for dns issue. Affected system: storage-002, component: Memory. Job ID 3962364 hung after 5 hours of execution. Error log analysis shows authentication failure. Preliminary investigation: consulting with vendor.",Issue resolved via firmware update. Verification: benchmark validation completed.,19.5,firmware_incompatibility,No,L1,Yes,,0,1534,1534,Vendor review,,152,10.8,Yes,Yes,P4,660,165.5
TKT-00422,2025-11-07 00:00,2025-11-14 00:00,Storage,Quota_Exceeded,P3,404,Earth Sciences,user116,hpc-gpu-072,Account,Quota Exceeded,Storage incident reported via email. Automated monitoring confirmed quota exceeded on hpc-gpu-073. Impact assessment: multiple users in department affected. Initial diagnosis indicates user error. Prometheus alert: gpu_temp_critical.,Issue resolved via component replacement. Verification: benchmark validation completed.,0.0,user_error,No,L1,Yes,,0,0,0,Vendor review,,203,10.5,Yes,Yes,P4,405,43.5
TKT-00432,2025-10-29 00:00,2025-11-05 00:00,Performance,Network_Latency,P3,407,Mathematics,user026,hpc-gpu-038,Network_HCA,Network Latency,"User user086 from Medical Research submitted P3 incident for network latency. Affected system: hpc-gpu-091, component: Network_HCA. Job ID 2546376 hung after 20 hours of execution. Error log analysis shows MPI abort. Preliminary investigation: consulting with vendor.",Issue resolved via permission adjustment. Verification: user confirmed resolution.,8.3,user_error,No,L1,No,,0,0,0,Vendor review,,272,10.3,No,Yes,P4,975,68.1
